"","AllContractor","NumberOfActions","Action_Obligation_OMB23_GDP21","MinOfFiscalYear","MaxOfFiscalYear","pos"
"522","001325877",74,3238343.12425677,2000,2008,522
"523","078821579",82,3210384.08015381,2013,2021,523
"524","008267262",30,3198779.79816069,2000,2017,524
"525","626175843",220,3185580.74383405,2008,2021,525
"526","236017922",38,3181413.94501505,2007,2020,526
"527","AURORA FLIGHT SCIENCES",17,3180155.99860469,2010,2016,527
"528","046816385",90,3179055.22298131,2001,2021,528
"529","868851437",35,3136239.951641,2004,2017,529
"530","001139518",21,3134593.6074822,2000,2017,530
"531","081247583",2,3126201.58576194,2019,2019,531
"532","944681501",21,3110314.9752142,2008,2017,532
"533","958741241",10,3080357.94672788,2004,2009,533
"534","131386526",112,3066401.23893272,2000,2021,534
"535","608174959",21,3050199.89899927,2000,2021,535
"536","608232252",3,3036442.06591258,2012,2014,536
"537","WESTAR",6,3022227.80843858,2003,2003,537
"538","010218563",87,3021703.32141518,2003,2021,538
"539","029519964",566,3012226.69047268,2000,2021,539
"540","092694249",194,2998857.53899729,2000,2021,540
"541","047586177",70,2969310.89754362,2000,2018,541
"542","SUPPLYCORE",13,2943342.56812789,2001,2001,542
"543","107087587",29,2930506.11898822,2011,2021,543
"544","039278270",25,2928605.83316475,2000,2018,544
"545","077128551",108,2912926.03213078,2001,2021,545
"546","343993932",99,2904199.05515499,2014,2021,546
"547","008091316",10,2888419.71243739,2001,2002,547
"548","798069175",166,2837664.03006398,2005,2021,548
"549","087450490",40,2836602.1094106,2000,2008,549
"550","001053164",15,2832328.17494226,2004,2013,550
"551","054702840",61,2825433.40312138,2000,2014,551
"552","879769180",17,2804927.69677394,2002,2020,552
"553","001123017",74,2781547.05332613,2000,2017,553
"554","001140490",9,2775143.75736987,2000,2001,554
"555","175302579",18,2772992.18712481,2002,2021,555
"556","606232080",4,2771749.15749302,2004,2014,556
"557","037695616",24,2758642.47341824,2000,2010,557
"558","059847384",3,2758635.84377225,2000,2006,558
"559","001028034",66,2755448.2913663,2000,2020,559
"560","033374088",47,2748911.54580152,2007,2021,560
"561","947783122",92,2748103.36345717,2004,2010,561
"562","026595124",52,2746464.45930998,2000,2021,562
"563","068015924",441,2739277.14394529,2001,2021,563
"564","196423024",55,2721979.72966063,2005,2020,564
"565","ESTERLINE",24,2718566.72155599,2006,2017,565
"566","825124980",1,2716885.72249037,2013,2013,566
"567","007060890",58,2712587.05973598,2002,2021,567
"568","QINETIQ GROUP",92,2707231.50982179,2005,2021,568
"569","006088108",95,2698099.24797735,2001,2021,569
"570","009934576",2,2688511.73567407,2015,2017,570
"571","151954310",15,2679103.28205635,2002,2015,571
"572","103118337",58,2669770.00730415,2001,2018,572
"573","079747035",72,2667804.88627097,2015,2021,573
"574","026249487",11,2662938.56353194,2003,2010,574
"575","938644333",58,2654978.5440934,2000,2021,575
"576","232124115",22,2651417.01680085,2000,2001,576
"577","194358933",11,2634763.70733007,2001,2010,577
"578","122075096",98,2633935.09392412,2001,2021,578
"579","095445490",9,2632914.06885454,2002,2004,579
"580","TRIUMPH GROUP",12,2604916.72834504,2001,2012,580
"581","836759522",6,2590233.5921054,2002,2008,581
"582","005931555",6,2587520.4256234,2002,2008,582
"583","180001054",80,2571417.96434347,2015,2021,583
"584","005240536",16,2568001.35053638,2001,2021,584
"585","588275508",11,2558978.96358242,2018,2021,585
"586","196778419",102,2548784.10472035,2000,2021,586
"587","799549860",109,2533919.1361086,2009,2018,587
"588","124602793",119,2525730.76065873,2003,2021,588
"589","793122615",48,2524815.8685165,2001,2017,589
"590","002387603",318,2503987.35401273,2005,2021,590
"591","626136238",6,2496777.79898276,2000,2010,591
"592","019640247",10,2487472.18353616,2000,2008,592
"593","078642147",15,2485765.29001408,2001,2011,593
"594","005116249",32,2473357.54369975,2000,2019,594
"595","008480626",23,2470587.69971488,2000,2019,595
"596","003243532",31,2443815.63160394,2000,2006,596
"597","057356776",12,2437781.43761112,2019,2021,597
"598","102512717",370,2434824.58472644,2008,2021,598
"599","098680200",22,2433707.47938593,2000,2002,599
"600","095572418",31,2431903.00974249,2004,2021,600
"601","612149138",5,2430650.39806512,2006,2010,601
"602","070138487",28,2426285.82155738,2004,2021,602
"603","115039596",8,2423677.12910355,2002,2010,603
"604","948365382",82,2422996.18991998,2013,2021,604
"605","830864448",13,2401317.47581488,2012,2018,605
"606","835575416",131,2398879.42938398,2006,2021,606
"607","110503450",32,2398519.47337176,2004,2008,607
"608","134345169",53,2385159.49108984,2009,2021,608
"609","184629491",9,2373118.53982013,2002,2011,609
"610","079602477",3,2367500.8201311,2020,2021,610
"611","078763836",80,2365147.07469091,2000,2020,611
"612","945009074",137,2356731.09302066,2002,2021,612
"613","092334770",23,2349227.03801388,2001,2021,613
"614","838026789",23,2348770.8500986,2000,2021,614
"615","057181034",30,2347976.67465726,2000,2005,615
"616","112982442",18,2345205.63259234,2000,2006,616
"617","013561139",29,2345157.9355217,2000,2007,617
"618","789730884",26,2331455.41906991,2002,2020,618
"619","ROCKWELL COLLINS",109,2319914.9783348,2002,2018,619
"620","050762871",6,2319708.79728936,2001,2002,620
"621","132123139",84,2316829.94528091,2004,2010,621
"622","131005290",55,2316807.14390046,2009,2021,622
"623","055863542",24,2313600.15723913,2000,2021,623
"624","364011189",59,2313134.81265006,2000,2013,624
"625","004204863",55,2298239.28299143,2000,2021,625
"626","825053429",8,2297397.34104856,2019,2021,626
"627","053794533",241,2294531.52430884,2009,2019,627
"628","795953095",5,2277295.45093513,2013,2015,628
"629","160998951",16,2271438.02491571,2015,2018,629
"630","216355057",32,2265167.33504255,2000,2017,630
"631","043189612",8,2258108.17048979,2003,2009,631
"632","056543879",272,2255786.27554305,2003,2021,632
"633","073164733",25,2248257.66860889,2002,2018,633
"634","620863886",5,2238296.45035411,2003,2005,634
"635","966629961",42,2238172.34640757,2012,2021,635
"636","080436429",145,2235049.79387747,2019,2021,636
"637","005285288",7,2234315.79555472,2002,2015,637
"638","155009587",13,2224412.09705594,2004,2010,638
"639","131043866",125,2214746.6652265,2007,2021,639
"640","009575721",104,2208445.89711585,2003,2021,640
"641","074776022",79,2200159.59063109,2015,2021,641
"642","068327758",18,2200075.27169875,2001,2016,642
"643","832930585",136,2177934.440833,2012,2021,643
"644","612498220",6,2176055.22955659,2002,2009,644
"645","131856890",161,2167363.24220988,2001,2021,645
"646","620387790",4,2161656.51001345,2006,2011,646
"647","008391682",230,2157064.13617441,2002,2021,647
"648","049111594",364,2157018.8218183,2002,2021,648
"649","KELLY AEROSPACE, INC [BUSINESS]; LIMCO PIEDMONT, INC [BUSINESS]",6,2156650.43988894,2001,2006,649
"650","788324911",87,2150823.7704968,2002,2016,650
"651","047627732",5,2148210.55666971,2001,2005,651
"652","069446839",73,2148058.43854048,2001,2012,652
"653","178515656",10,2147277.64343389,2000,2001,653
"654","COMPOSITE TECHNOLOGY",6,2142435.79117638,2003,2005,654
"655","001126390",43,2128223.84585938,2001,2021,655
"656","557510336",14,2127093.454903,2005,2016,656
"657","SKYLINE INDUSTRIES",9,2126097.22481758,2003,2012,657
"658","069936813",43,2123503.75630099,2005,2008,658
"659","THALES",14,2120852.74461372,2006,2021,659
"660","001803089",25,2117999.37417497,2003,2015,660
"661","999046451",3,2072412.39378931,2000,2001,661
"662","001198647",18,2070590.91343821,2002,2021,662
"663","039275474",15,2062716.67740774,2002,2008,663
"664","474094562",14,2061551.55249296,2004,2004,664
"665","153865951",12,2049962.79777554,2010,2021,665
"666","056410640",78,2048466.1829887,2004,2021,666
"667","175383488",12,2030246.59995558,2000,2003,667
"668","103388752",15,2029510.85932887,2002,2010,668
"669","009696139",42,2018763.13915213,2000,2007,669
"670","058513615",12,2008126.7138281,2002,2020,670
"671","080005219",3,2e+06,2021,2021,671
"672","008299257",23,1998817.88673414,2000,2016,672
"673","607126661",36,1997870.28922066,2000,2018,673
"674","003067410",9,1994305.72375755,2002,2009,674
"675","158264833",1,1991295.87060971,2005,2005,675
"676","969721062",210,1984019.21838952,2012,2021,676
"677","098121494",7,1981467.54074509,2000,2002,677
"678","003161122",18,1977329.67782406,2002,2008,678
"679","003220998",9,1970300.86223912,2000,2008,679
"680","001151679",138,1967465.69989104,2001,2021,680
"681","787857551",104,1934172.00696429,2008,2021,681
"682","006557250",9,1922393.73148015,2008,2021,682
"683","110433120",13,1919669.8336815,2003,2005,683
"684","122543739",13,1915569.20589671,2003,2021,684
"685","044646230",186,1915556.21403423,2000,2021,685
"686","145014242",141,1913898.36765729,2006,2021,686
"687","196801401",10,1913610.26080464,2016,2021,687
"688","151364098",22,1909394.63740529,2000,2003,688
"689","789563652",245,1901861.33426807,2012,2021,689
"690","803471119",35,1890754.35100049,2007,2016,690
"691","002488047",5,1890140.16091023,2000,2004,691
"692","024849064",21,1866918.98477682,2003,2014,692
"693","065943102",90,1854703.28589478,2002,2021,693
"694","021991967",55,1848354.55683278,2015,2021,694
"695","002560469",44,1843501.05170946,2005,2018,695
"696","009578162",14,1842454.40644848,2000,2021,696
"697","808156967",14,1839629.14923611,2018,2020,697
"698","152704644",10,1839428.47530074,2009,2015,698
"699","964730451",9,1837428.73688024,2012,2018,699
"700","001453661",47,1836688.56920419,2001,2021,700
"701","616944120",9,1835909.61925895,2005,2014,701
"702","094142122",9,1822836.99622584,2012,2021,702
"703","197194665",53,1812712.985462,2012,2020,703
"704","008238768",29,1812043.25841146,2000,2018,704
"705","831535674",5,1800308.60335864,2014,2018,705
"706","063093145",11,1799920.44468204,2001,2006,706
"707","092071505",52,1789120.45008737,2000,2021,707
"708","692577588",5,1783222.56522855,2018,2021,708
"709","098018112",39,1782255.41788649,2002,2021,709
"710","049185671",27,1781987.50747983,2002,2021,710
"711","193712069",70,1778462.36255693,2007,2021,711
"712","858437221",11,1777659.39623542,2002,2021,712
"713","173666215",9,1774867.82287894,2008,2019,713
"714","962263344",85,1773444.9498879,2013,2021,714
"715","108887225",78,1759938.77470991,2000,2021,715
"716","156110160",9,1744447.15115887,2012,2020,716
"717","059827717",35,1743877.41466296,2001,2021,717
"718","120871892",23,1743087.67253807,2000,2021,718
"719","089390579",63,1742275.0229373,2000,2019,719
"720","094943495",2,1738730.58712977,2000,2001,720
"721","ESCO ELECTRONICS",13,1728175.57216009,2019,2021,721
"722","077409241",3,1711486.9989375,2009,2010,722
"723","621219166",23,1704799.59699266,2015,2021,723
"724","DUKE UNIVERSITY",14,1701140.29550101,2009,2013,724
"725","112078308",1,1697717.39394502,2005,2005,725
"726","809614733",137,1692738.07678158,2009,2021,726
"727","018478292",7,1690734.21442012,2006,2009,727
"728","005341789",44,1687872.55729625,2000,2021,728
"729","612121822",61,1683615.27016572,2000,2009,729
"730","364386508",101,1683511.6083957,2000,2021,730
"731","005457221",14,1682286.15049171,2000,2014,731
"732","059827568",33,1672123.86985159,2000,2010,732
"733","075949644",25,1671889.93973538,2003,2005,733
"734","093617272",80,1664916.77295025,2000,2015,734
"735","043105584",8,1664392.54642874,2001,2015,735
"736","068060011",6,1649155.44669865,2006,2012,736
"737","032755097",21,1636848.2274484,2001,2021,737
"738","088397856",16,1632068.48481123,2005,2011,738
"739","616206947",13,1629760.75637329,2011,2018,739
"740","171854771",18,1622441.00272273,2005,2012,740
"741","004237863",14,1621092.65570746,2000,2001,741
"742","061665857",80,1617948.63963294,2004,2021,742
"743","627132913",8,1609670.28820496,2000,2020,743
"744","135507023",44,1609436.11793764,2005,2021,744
"745","193802162",10,1608132.75954358,2007,2021,745
"746","CLARCOR",48,1606216.34828927,2001,2008,746
"747","929422699",21,1605536.44959153,2005,2021,747
"748","122841880",179,1603506.44829574,2004,2021,748
"749","080385371",11,1598357.78738601,2019,2021,749
"750","059677856",5,1591756.46862287,2007,2019,750
"751","080199117",5,1591066.33760915,2020,2021,751
"752","008265902",10,1590922.84212382,2000,2005,752
"753","063993208",25,1590829.78940356,2013,2021,753
"754","083908327",73,1590541.09023919,2000,2021,754
"755","047015177",164,1590240.02493362,2000,2021,755
"756","REDSTONE DEFENSE SYSTEMS",8,1588531.13728507,2014,2019,756
"757","010099039",61,1587332.90274516,2006,2021,757
"758","086740321",38,1578258.57686815,2002,2020,758
"759","801737867",26,1572139.99418992,2001,2011,759
"760","147518286",9,1571471.73876941,2003,2019,760
"761","001179050",1,1566303.74558276,2010,2010,761
"762","101540867",103,1565464.77334808,2004,2021,762
"763","194578076",21,1565443.20559297,2002,2010,763
"764","049371016",20,1562332.18607106,2000,2021,764
"765","086581902",5,1560969.10973076,2011,2013,765
"766","127283500",5,1560455.86830638,2015,2017,766
"767","414924092",3,1558628.84929372,2002,2003,767
"768","607370186",150,1545902.78166377,2006,2021,768
"769","034770255",3,1543431.63003107,2016,2021,769
"770","130110703",153,1539995.86695901,2001,2021,770
"771","927174599",33,1535840.14374734,2000,2017,771
"772","177941572",11,1529747.34259205,2012,2020,772
"773","063305114",3,1528446.52263359,2001,2002,773
"774","942382417",194,1525534.7388301,2007,2021,774
"775","008385114",50,1518693.0454783,2001,2021,775
"776","109117189",28,1515104.45819757,2002,2005,776
"777","015334899",8,1512602.26061894,2006,2018,777
"778","616194916",174,1499997.45096685,2008,2021,778
"779","199385568",6,1493302.21726149,2009,2013,779
"780","073626244",61,1488239.20122821,2001,2017,780
"781","829396782",4,1486348.375,2021,2021,781
"782","019677178",3,1483226.93874818,2000,2002,782
"783","102377298",94,1481156.12373975,2001,2021,783
"784","829503465",72,1481069.45152821,2000,2021,784
"785","008090060",5,1472364.40998047,2001,2002,785
"786","089442289",33,1463255.60854109,2006,2021,786
"787","072212780",9,1459146.72149371,2005,2021,787
"788","783401110",30,1454418.90760383,2002,2006,788
"789","038799540",11,1448731.39673108,2013,2021,789
"790","121763932",109,1446082.63154734,2003,2021,790
"791","175329614",11,1443341.74947517,2010,2018,791
"792","797053949",41,1442688.94814434,2000,2011,792
"793","154920201",5,1435379.1342203,2013,2017,793
"794","MAGELLAN AEROSPACE",92,1429239.11575655,2007,2021,794
"795","602374951",1,1429088.241235,2003,2003,795
"796","008116956",38,1425620.71382056,2000,2007,796
"797","137768482",16,1404728.95887531,2009,2021,797
"798","083265558",8,1401271.06127248,2006,2013,798
"799","194884250",110,1400568.62376537,2004,2021,799
"800","006037196",10,1396195.32108663,2000,2006,800
"801","MARTIN BAKER",7,1395818.1550638,2002,2016,801
"802","126253587",6,1395719.85098533,2004,2014,802
"803","008286494",1,1386472.51330652,2001,2001,803
"804","131199445",7,1383170.94081452,2004,2011,804
"805","013959762",12,1378837.63417768,2003,2015,805
"806","160037545",61,1378252.82449419,2001,2021,806
"807","614649085",20,1376452.51674639,2002,2011,807
"808","006477301",33,1373229.12839934,2000,2021,808
"809","127860158",21,1372318.49583403,2009,2020,809
"810","086251469",8,1371034.04731666,2006,2021,810
"811","962345737",23,1367854.79480289,2014,2020,811
"812","008267023",43,1362465.53234119,2000,2021,812
"813","790247589",61,1356187.75272434,2001,2021,813
"814","081037971",11,1356131.53730424,2018,2021,814
"815","809004088",26,1353032.91631974,2002,2018,815
"816","128738205",8,1345998.96555824,2000,2006,816
"817","790044841",16,1345670.75253155,2005,2010,817
"818","SAID",6,1343675.5241508,2003,2006,818
"819","175748433",37,1343619.20263466,2012,2021,819
"820","956733497",11,1340482.42416688,2004,2011,820
"821","088060843",50,1332019.63096151,2007,2021,821
"822","001142702",84,1328691.99792118,2001,2021,822
"823","183281799",7,1322897.64740603,2000,2003,823
"824","945301869",3,1319807.90367136,2014,2014,824
"825","054631879",4,1317727.62310529,2002,2005,825
"826","800050577",8,1317360.45097388,2004,2017,826
"827","007246630",60,1313206.52605025,2005,2021,827
"828","082694464",8,1306347.222919,2000,2017,828
"829","192471993",89,1305900.2335859,2002,2014,829
"830","079105006",198,1298366.53648478,2014,2018,830
"831","008860314",9,1296696.86549685,2011,2017,831
"832","141820758",1,1294752.7992654,2002,2002,832
"833","006780472",17,1292974.6792121,2000,2007,833
"834","004626938",27,1288849.94555957,2011,2021,834
"835","196406730",4,1287284.09488492,2002,2005,835
"836","005156765",8,1283879.15275086,2000,2008,836
"837","061264768",183,1282061.93428952,2000,2021,837
"838","007235229",60,1270230.57030454,2001,2021,838
"839","959271594",371,1268589.05360587,2004,2021,839
"840","829284483",6,1265839.58345009,2009,2011,840
"841","078824548",3,1265251.93331254,2014,2018,841
"842","003259405",83,1264287.46825592,2002,2021,842
"843","107889578",20,1261358.71732501,2000,2002,843
"844","145747325",4,1258630.43486651,2015,2016,844
"845","947446969",35,1257856.4140476,2012,2021,845
"846","782411029",88,1253167.50587759,2001,2021,846
"847","032575458",18,1250694.79218331,2003,2007,847
"848","001280569",26,1248736.30042143,2000,2019,848
"849","015278419",17,1235350.62031648,2000,2019,849
