year,A-1,A-3,A-4,A-7,A-9,A-10,A-26,A-37,AC-47,AC-119,AC-123,AC-130,AT-33,F-3,F-4,F-5,F-6,F-8,F-11,F-15,F-16,F-24,F-47,F-51,F-80,F-82,F-84,F-86,F-89,F-94,F-100,F-101,F-102,F-104,F-105,F-106,F-107,F-111,F-117,F-22A,FH-1,F-35A,MiG-15,N-156,NA-37,S-2,TF-15,XF-4,YA-37,YAT-28,YF-4,YF-5,YF-15,YF-16/17,YF-84,YF-117,B-1,B-2,B-17,B-25,B-26,B-29,B-36,B-45,B-47,B-50,B-52,B-57,B-58,B-66,FB-111,JD-1,P2V-5,XB-70,B-57,C-121,C-130,C-135,DC-130,E-3,E-4,E-8,E-9,E-11,E-47,EA-1,EB-47,EB-57,EB-66,EC-18,EC-47,EC-54,EC-121,EC-130,EC-135,EF-111,ER-47,ET-29,JRB-57,MC-12,MC/WC-130,MC-130,MQ-9,OC/WC-135,OV-10,R-47,RB-17,RB-25,RB-26,RB-29,RB-36,RB-45,RB-47,RB-50,RB-52,RB-57,RB-66,RC-45,RC-47,RC-54,RC-121,RC-130,RC-135,RF-4,RF-51,RF-80,RF-84,RF-86,RF-101,RF-104,RF-111,M/RQ-1,RQ-4,RT-33,SR-71,TC-130,TC-135,TE-8,TR-1,TU-2,U-2,WB-26,WB-29,WB-47,WB-50,WB-57,WB-66,WC-130,OC-135,WC-135,WT-33,YRB-58,YRF-4,KB-29,KB-50,KC-10,KC-97,KC-119,KC-135,NKC-135,HC-130,YKB-29J,319A,AMST,C/AC/VC-47,C-5,C-6,C-7,C-8,C-9,C-12,C-17,C-18,C-20,C-21,C-22,C-23,C-26,C-27,C-32,C-37,C-38,C-40,C-41,C-45,C-46,C-47,C-53,C-54,C-64,C-74,C-82,C-97,C-99,C-117,C-118,C-119,C-121,C-122,C-123,C-124,C-125,C-129,C-130,C-131,C-133,C-134,C-135,C-137,C-140,C-141,CB-17,CB-25,CB-26,CT/T-39,CT-29,CV-22,DC-130,EC-121,EC-137,LC-130,MC-130,NC-130,NC-135,NC-141,NT-29,NT/T-39,RC-130,T-39,VB-17,VB-25,VB-26,VC-6,VC-9,VC-25,VC-47,VC-53,VC-54,VC-97,VC-117,VC-118,VC-121,VC-123,VC-131,VC-135,VC-137,VC-140,VT-29,WV-2,XC-8,XC-142,H/HH/UH-1,HOK-1,HUL-1,TH-1,YAO-1,YH-1,HSS-2,YHO-2,H/HH/CH-3,H-5,YOH-6,H-12,H/UH-13,OH-13,H-16,YH-16,H-18,H/HH/UH-19,H/HH/CH-21,H-23,H-24,H-32,H/HH/CH/SH/UH-34,H-37,H-39,H-40,XH-40,YH-40,YH-41,H/HH-43,CH-47,H/HH/CH-53,H/HH-60,AT-38,C/T-43,CT-39,DT-33,LT-6,NT-29,T-1,T-3,T-6,T-7,T-11,T-28,T-29,T-33,T-34,T-35,T-37,T-38,T-39,T-41,T-46,T-51,T-53,TB-17,TB-25,TB-26,TB-29,TB-45,TB-47,TB-50,TB-57,TB-58,TC-18,TC-45,TC-46,TC-47,TC-54,TC-121,TC-130,TC-135,TF-47,TF-51,TF-80,TF-84,TF-86,TF-101,TF-102,TG-3,TG-4,TG-7,TG-9,TG-10,TG-11,TG-14,TH-5,TRF-51,TV-2,UV-18,YAT-37
2004,,,,,,249,,,,,,21,,,,,,,,733,1346,,,,,,,,,,,,,,,,,,55,27,,,,,,,,,,,,,,,,,67,21,,,,,,,,,93,,,,,,,,,,,,,32,4,17,2,,,,,,,,,,,24,,,,,,,20,63,5,2,,,,,,,,,,,,,,,,,,,21,,,,,,,,,6,6,,,,,,,,34,,,,,,,,,,,,,,,59,,,534,,,,,,,118,,,,4,28,126,,10,77,,,11,,6,9,2,5,,,,,,,,,,,,,,,,,,,,,497,,,,2,,,20,,,,,,,,,,10,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,104,,9,,,,,179,110,159,,,,,,,,283,484,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,21,,14,,,,3,
2005,,,,,,249,,,,,,21,,,,,,,,722,1325,,,,,,,,,,,,,,,,,,55,47,,,,,,,,,,,,,,,,,67,21,,,,,,,,,94,,,,,,,,,,,,,32,4,18,,,,,,,,,,,,24,,,,,,,20,61,7,2,,,,,,,,,,,,,,,,,,,22,,,,,,,,,5,9,,,,,,,,34,,,,,,,,,,,,,,,59,,,535,,,,,,,112,,,,5,28,140,,10,76,,,11,,6,9,2,7,,,,,,,,,,,,,,,,,,,,,480,,,,1,,,8,,,,,,1,,,,10,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,101,,8,,,,,179,110,217,,,,,,,,213,485,,4,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,21,,14,,,,3,
2006,,,,,,248,,,,,,23,,,,,,,,708,1315,,,,,,,,,,,,,,,,,,52,73,,,,,,,,,,,,,,,,,67,20,,,,,,,,,94,,,,,,,,,,,,,32,4,18,,,,,,,,,,,,24,,,,,,,20,62,8,2,,,,,,,,,,,,,,,,,,,22,,,,,,,,,5,11,,,,,,,,34,,,,,,,,,,,,,,,59,,,535,,,,,,,111,,,,3,28,157,,10,76,,,11,,6,9,2,7,,,,,,,,,,,,,,,,,,,,,488,,,,,,,,,,,,,4,,,,10,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,101,,8,,,,,179,110,272,,,,,,,,171,489,,4,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,21,,14,,,,3,
2007,,,,,,247,,,,,,25,,,,,,,,660,1248,,,,,,,,,,,,,,,,,,44,97,,,,,,,,,,,,,,,,,67,21,,,,,,,,,94,,,,,,,,,,,,,32,4,18,,,,,,,,,,,,21,,,,,,,20,64,13,2,,,,,,,,,,,,,,,,,,,22,,,,,,,,,131,12,,,,,,,,33,,,,,,,,,,,,,,,59,,,505,,,,,,,108,,,,3,28,169,,10,57,,,11,,6,9,2,9,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,7,,,,10,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,101,,8,,,,,179,,320,,,,,,,,87,462,,4,,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,21,,14,,,,3,
2008,,,,,,335,,,,,,25,,,,,,,,630,1200,,,,,,,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,66,20,,,,,,,,,76,,,,,,,,,,,,,32,4,18,,,,,,,,,,,,21,,,,,,,20,67,22,2,,,,,,,,,,,,,,,,,,,25,,,,,,,,,144,14,,,,,,,,32,,,,,,,,,,,,,,,59,,,454,,,,,,,108,,,,3,28,178,,10,57,,,,,6,10,2,10,,,,,,,,,,,,,,,,,,,,,418,,,,,,,,,,,,,10,,,,10,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,101,,8,,,,,179,,354,,,,,,,,32,459,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,4,,,,3,
2009,,,,,,355,,,,,,25,,,,,,,,588,1156,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,66,20,,,,,,,,,77,,,,,,,,,,,,,32,4,18,,,,,,,,,,,,22,,,,,,31,20,70,35,2,,,,,,,,,,,,,,,,,,,25,,,,,,,,,126,17,,,,,,,,33,,,,,,,,,,,,,,,59,,,419,,,,,,,111,,,,3,28,190,,10,56,,,,,6,10,2,10,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,,,,12,,,,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,7,,,,,179,,431,,,,,,,,,456,,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,4,,,,3,
2010,,,,,,334,,,,,,25,,,,,,,,467,1004,,,,,,,,,,,,,,,,,,,158,,4,,,,,,,,,,,,,,,65,20,,,,,,,,,74,,,,,,,,,,,,,31,4,17,2,,,,,,,,,,,17,,,,,,37,,71,54,1,,,,,,,,,,,,,,,,,,,22,,,,,,,,,174,25,,,1,3,1,,5,27,,,,,,,20,2,2,,,,59,,,,,417,,,,,,,111,,,,3,27,205,,11,56,,,,5,6,11,2,10,,,,,,,,,,,,,,,,,,,,,387,,,,,,,,,,,,,16,,,,10,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,177,,345,,,,,,,,,434,,4,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,345,,,,,,25,,,,,,,,471,1020,,,,,,,,,,,,,,,,,,,179,,11,,,,,,,,,,,,,,,66,20,,,,,,,,,76,,,,,,,,,,,,,32,4,17,2,,,,,,,,,,,17,,,,,,37,,65,77,1,,,,,,,,,,,,,,,,,,,22,,,,,,,,,169,25,,,1,3,1,,5,27,,,,,,,18,2,2,,,,59,,,,,414,,,,,,,94,,,,3,27,212,,11,54,,,,11,6,12,2,11,,,,,,,,,,,,,,,,,,,,,367,,,,,,,,,,,,,19,,,,10,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,178,,450,,,,,,,,,521,,4,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,346,,,,,,37,,,,,,,,468,1013,,,,,,,,,,,,,,,,,,,187,,11,,,,,,,,,,,,,,,66,20,,,,,,,,,76,,,,,,,,,,,,,32,4,17,2,3,,,,,,,,,,21,,,,,,42,,61,104,1,,,,,,,,,,,,,,,,,,,22,,,,,,,,,165,27,,,1,3,1,,5,27,,,,,,,20,2,1,,,,59,,,,,415,,,,,,,79,,,,,28,217,,11,47,,,,12,4,11,2,11,,,,,,,,,,,,,,,,,,,,,369,,,,,,,,,,,,,28,,,,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,178,,445,,,,,,,,,508,,4,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,334,,,,,,37,,,,,,,,467,1007,,,,,,,,,,,,,,,,,,,182,,22,,,,,,,,,,,,,,,63,20,,,,,,,,,76,,,,,,,,,,,,,31,4,16,0,0,,,,,,,,,,21,,,,,,41,,61,104,0,,,,,,,,,,,,,,,,,,,22,,,,,,,,,156,25,,,1,3,1,,5,27,,,,,,,20,2,1,,,,59,,,,,408,,,,,,,72,,,,,22,218,,10,47,,,,13,4,11,2,11,,,,,,,,,,,,,,,,,,,,,361,,,,,,,,,,,,,32,,,,10,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,178,,445,,,,,,,,,508,,4,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,297,,,,,,35,,,,,,,,469,971,,,,,,,,,,,,,,,,,,,187,,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,20,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,4,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,41,NA,55,154,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,152,30,NA,NA,1,3,1,NA,5,27,NA,NA,NA,NA,NA,NA,19,2,1,NA,NA,NA,59,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,28,222,NA,9,36,NA,NA,NA,NA,4,12,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,178,,445,,,,,,,,,507,,4,,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,283,,,,,,33,,,,,,,,543,961,,,,,,,,,,,,,,,,,,,187,,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,20,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4,16,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,31,NA,72,165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,139,33,NA,NA,1,3,1,NA,5,27,NA,NA,NA,NA,NA,NA,19,2,1,NA,NA,NA,59,NA,NA,NA,NA,396,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,28,222,NA,5,27,NA,NA,NA,NA,6,12,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,178,,445,,,,,,,,,506,,4,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,283,,,,,,31,,,,,,,,456,949,,,,,,,,,,,,,,,,,,,186,,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,20,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,4,16,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,4,NA,56,195,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,129,33,NA,NA,0,3,1,NA,5,27,NA,NA,NA,NA,NA,NA,18,2,1,NA,NA,NA,59,NA,NA,NA,NA,398,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,29,222,NA,5,27,NA,NA,NA,NA,6,12,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,178,,444,,,,,,,,,504,,4,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
