"Fiscal_Year","SimpleArea","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change",".group"
2015,"Products","Topline",144773715030.351,145071709308.857,-297994278.506229,91610962290.8668,52929006856.0745,-0.00205411709785401,0.577758442139531,55
2015,"R&D","Engines",454530305.146527,415242008.54902,39288296.5975066,787820642.369625,-324816142.007995,0.0946154189331462,-0.412297069331676,56
2015,"R&D","Topline",25126046579.6659,27129323366.9217,-2003276787.25585,29170270778.6203,-4055566208.64611,-0.0738417527102209,-0.139030804322137,56
2016,"Products","Engines",6860024718.79341,5602364858.65323,1257659860.14018,5313394394.47083,1556797680.45968,0.22448731774362,0.29299494162897,57
2016,"Products","Topline",164761204239.129,144773715030.351,19987489208.778,91610962290.8668,72867587687.2836,0.138060207991401,0.79540249185384,57
2016,"R&D","Engines",449884564.507411,454530305.146527,-4645740.63911571,787820642.369625,-337465318.376706,-0.0102209700574708,-0.428352978111451,58
2016,"R&D","Topline",25952645421.6716,25126046579.6659,826598842.005691,29170270778.6203,-3228891684.16796,0.0328980860313554,-0.110691179683341,58
2017,"Products","Engines",4968676494.85317,6860024718.79341,-1891348223.94024,5313394394.47083,-313519856.179109,-0.275705744726953,-0.0590055683623563,59
2017,"Products","Topline",178343306477.573,164761204239.129,13582102238.4447,91610962290.8668,86486025541.8684,0.0824350750600982,0.944057603797167,59
2017,"R&D","Engines",201736964.999619,449884564.507411,-248147599.507792,787820642.369625,-585392654.198855,-0.551580603303192,-0.743053206168979,60
2017,"R&D","Topline",26803885316.2314,25952645421.6716,851239894.55987,29170270778.6203,-2368252280.46823,0.0327997350840022,-0.081187188780023,60
2018,"Products","Engines",7222010209.14072,4968676494.85317,2253333714.28755,5313394394.47083,1915658714.63831,0.453507833851063,0.360533883317934,61
2018,"Products","Topline",195181168936.556,178343306477.573,16837862458.9828,91610962290.8668,103000999572.938,0.0944126403818812,1.12433050583955,61
2018,"R&D","Engines",159587816.642475,201538565.913793,-41950749.2713182,565182842.526454,-404923769.334155,-0.208152464919605,-0.716447384573962,62
2018,"R&D","Topline",27867637933.3124,26803885316.2314,1063752617.08095,29170270778.6203,-1303828116.64827,0.0396865083002271,-0.0446971550776238,62
2019,"Products","Engines",6297477437.29633,7222010209.14072,-924532771.844395,5313394394.47083,988176946.987556,-0.128015987941174,0.185978467552844,63
2019,"Products","Topline",202384293287.156,195181168936.556,7203124350.59968,91610962290.8668,110018728444.899,0.0369048120259033,1.20093409886458,63
2019,"R&D","Engines",251644708.195373,159587816.642475,-53522501.0774387,787820642.369625,-535978371.623917,-0.335379618591722,-0.680330449341602,64
2019,"R&D","Topline",31161365446.5308,27867637933.3124,3293727513.21842,29170270778.6203,1987657822.96963,0.118191843926649,0.0681398482055382,64
2020,"Products","Engines",7708467963.30396,6297477437.29633,1410986927.42458,5313394394.47083,2505283479.66547,0.224055892454353,0.471503391931999,65
2020,"Products","Topline",223866340523.141,202384293287.156,21482044838.836,91610962290.8668,131538191305.241,0.106144822258296,1.43583462083505,65
2020,"R&D","Engines",135338094.028185,251644708.195373,-116306614.167189,787820642.369625,-652404510.323809,-0.46218581348784,-0.828112993284222,66
2020,"R&D","Topline",31083523640.5024,31161365446.5308,-145053977.642044,29170270778.6203,1834889025.45334,-0.00465493008934218,0.0629027080131934,66
2021,"Products","Engines",4797385265.0588,7708464364.7209,-2911079099.6621,5313394394.47083,-464368930.980033,-0.377647085324173,-0.0873959086235457,67
2021,"Products","Topline",194231408691.595,223866340523.141,-29634931831.5467,91610962290.8668,101960323772.683,-0.132377791865871,1.11297077580036,67
2021,"R&D","Engines",230070564.0793,135338094.028185,94732470.0511155,787820642.369625,-557695261.698525,0.699968997874222,-0.707896228792732,68
2021,"R&D","Topline",31623517891.9347,31083523640.5024,539994251.432329,29170270778.6203,2241767025.21652,0.0173723628529909,0.0768510872672315,68
