"Fiscal_Year","SubCustomer","type","Action_Obligation_OMB23_GDP21","Action_Obligation_OMB23_GDP21.lagged","amount_change","Action_Obligation_OMB23_GDP21.2000","baseline_change","amount_percent_change","baseline_percent_change"
2001,"Navy","Engines",1571119756.06002,1263872297.94853,307247458.111495,1263872297.94853,307247458.111495,0.243100081084306,0.243100081084306
2001,"Navy","Topline",63207175254.4819,62222771030.4979,984404223.984003,62222771030.4979,984404223.984003,0.0158206426309993,0.0158206426309993
2002,"Air Force","Engines",3963144307.38682,4014173830.57093,-51029523.1841193,3341073252.78117,622071054.605645,-0.0127123351747977,0.186188990046184
2002,"Air Force","Topline",69893165289.0067,60873244329.9203,9019920959.08637,58352469213.8231,11540696075.1836,0.148175459651867,0.19777562510499
2002,"Army","Engines",1222084799.51249,856262385.098869,365822414.413619,1032405549.59342,189679249.919069,0.427231676621389,0.183725523360242
2002,"Army","Topline",68087106417.8543,60729126970.1162,7357979447.73816,56620882464.0461,11466223953.8082,0.12116063271186,0.202508746858356
2002,"DLA","Engines",844930516.328944,716825592.465791,128047389.779465,579516667.894779,265356314.350477,0.178631163738167,0.457892462894022
2002,"DLA","Topline",21514527083.2016,17109478603.0044,4405048480.19721,14727836081.5909,6786691001.61071,0.257462461738822,0.460807070639098
2002,"Navy","Engines",2220969328.34407,1571119756.06002,649849572.284049,1263872297.94853,957097030.395544,0.413621921421006,0.757273525141006
2002,"Navy","Topline",70471438510.666,63207175254.4819,7264263256.18404,62222771030.4979,8248667480.16805,0.114927826262398,0.132566700961052
2003,"Air Force","Engines",4606827792.96132,3963144307.38682,643683485.574509,3341073252.78117,1265754540.18015,0.162417372583371,0.378846689196807
2003,"Air Force","Topline",79619103773.5959,69893165289.0067,9725938484.58918,58352469213.8231,21266634559.7727,0.139154357144545,0.364451322219881
2003,"Army","Engines",1416664686.67347,1222084799.51249,194579887.160977,1032405549.59342,384259137.080046,0.159219627998481,0.372197860841968
2003,"Army","Topline",91994413573.437,68087106417.8543,23907307155.5827,56620882464.0461,35373531109.3909,0.351128259275144,0.624743549905866
2003,"DLA","Engines",768139587.656624,844872982.245256,-76733394.5886321,579516667.894779,188622919.761845,-0.090822403131785,0.32548316590627
2003,"DLA","Topline",25330243261.5603,21514527083.2016,3815716178.35866,14727836081.5909,10602407179.9694,0.177355335936617,0.71988899939088
2003,"Navy","Engines",3633111117.36985,2220969328.34407,1412141789.02578,1263872297.94853,2369238819.42132,0.635822283092335,1.87458718991388
2003,"Navy","Topline",81583586160.7424,70471438510.666,11112147650.0765,62222771030.4979,19360815130.2445,0.157682997323726,0.311153213037635
2004,"Air Force","Engines",4504452616.12269,4606827792.96132,-102375176.838638,3341073252.78117,1163379363.34152,-0.022222488323756,0.348205284745882
2004,"Air Force","Topline",76846908743.09,79619103773.5959,-2772195030.50584,58352469213.8231,18494439529.2669,-0.0348182144625594,0.316943563459106
2004,"Army","Engines",1409350345.41987,1416664686.67347,-7314341.25359902,1032405549.59342,376944795.826447,-0.00516307163043229,0.365113104995315
2004,"Army","Topline",106138130932.11,91994413573.437,14143717358.6734,56620882464.0461,49517248468.0644,0.153745393978546,0.874540387100245
2004,"DLA","Engines",506853296.697113,768139587.656624,-261286290.959511,579516667.894779,-72663371.1976656,-0.340154699950592,-0.125386162682139
2004,"DLA","Topline",27384032993.1431,25330243261.5603,2053789731.58281,14727836081.5909,12656196911.5522,0.0810805372208772,0.85933852342177
2004,"Navy","Engines",2105158317.91743,3633111117.36985,-1527952799.45242,1263872297.94853,841286019.968901,-0.420563189533979,0.66564163273018
2004,"Navy","Topline",84887770974.7724,81583586160.7424,3304184814.02996,62222771030.4979,22664999944.2745,0.0405006076531105,0.364255714891987
2005,"Air Force","Engines",4863102965.3171,4504452616.12269,358650349.194412,3341073252.78117,1522029712.53593,0.0796212946964306,0.455551135033919
2005,"Air Force","Topline",75013828180.7324,76846919071.6235,-1833090890.89107,58352469213.8231,16661358966.9093,-0.0238537980837276,0.285529630389015
2005,"Army","Engines",1313847841.12626,1409350345.41987,-95502504.2936064,1032405549.59342,281442291.532841,-0.067763494438393,0.272608270697187
2005,"Army","Topline",129046009721.389,106138130932.11,22907878789.2785,56620882464.0461,72425127257.3428,0.215830810172558,1.27912395754927
2005,"DLA","Engines",727812263.202123,506853296.697113,220958966.505009,579516667.894779,148295595.307344,0.435942644439483,0.255895306421574
2005,"DLA","Topline",37693447561.8192,27384032993.1431,10309411397.4661,14727836081.5909,22965611480.2283,0.376475276671174,1.55933372377319
2005,"Navy","Engines",3100137040.24059,2105158317.91743,994978722.323162,1263872297.94853,1836264742.29206,0.472638430019584,1.45288787899903
2005,"Navy","Topline",88540906871.4047,84887770974.7724,3653135896.63227,62222771030.4979,26318135840.9067,0.0430348901223704,0.42296630968118
2006,"Air Force","Engines",3385460245.3193,4863102965.3171,-1477642719.99779,3341073252.78117,44386992.5381344,-0.303847714213767,0.0132852497326079
2006,"Air Force","Topline",82362822378.9327,75013828180.7324,7348994198.20026,58352469213.8231,24010353165.1096,0.0979685262895018,0.411471073779715
2006,"Army","Engines",967549463.932009,1313847841.12626,-346298377.194251,1032405549.59342,-64856085.6614096,-0.263575709724039,-0.0628203574525062
2006,"Army","Topline",132556194404.253,129046009721.389,3510184682.86455,56620882464.0461,75935311940.2074,0.0272010323329103,1.34111848200928
2006,"DLA","Engines",610781430.445089,727812263.202123,-117030832.757034,579516667.894779,31264762.5503099,-0.160798105052722,0.0539497210043777
2006,"DLA","Topline",42515022360.5435,37693444390.6092,4821577969.93437,14727836081.5909,27787186278.9527,0.127915557940775,1.88671208214256
2006,"Navy","Engines",2968942202.8578,3100137040.24059,-131194837.382794,1263872297.94853,1705069904.90927,-0.0423190445066946,1.34908400767774
2006,"Navy","Topline",97718468672.6896,88540906871.4047,9177561801.2849,62222771030.4979,35495697642.1916,0.10365335216878,0.570461537702873
2007,"Air Force","Engines",4585964212.57458,3385460245.3193,1200503967.25527,3341073252.78117,1244890959.79341,0.35460583798468,0.372602114831555
2007,"Air Force","Topline",88628524118.305,82362822378.9327,6265701739.37228,58352469213.8231,30276054904.4818,0.0760743932565254,0.518847879316643
2007,"Army","Engines",436416445.317667,967549463.932009,-531133018.614342,1032405549.59342,-595989104.275752,-0.548946631065123,-0.577281964931769
2007,"Army","Topline",150116124360.048,132556194404.253,17559929955.7943,56620882464.0461,93495241896.0016,0.132471590895573,1.65125017179608
2007,"DLA","Engines",476113001.037038,610781430.445089,-134668429.408051,579516667.894779,-103403666.857741,-0.220485467788232,-0.178430876256549
2007,"DLA","Topline",38843896853.3853,42515022360.5435,-3671125507.15826,14727836081.5909,24116060771.7944,-0.086348902183932,1.63744766292846
2007,"Navy","Engines",3066563926.3338,2968942202.8578,97621723.4760064,1263872297.94853,1802691628.38528,0.0328809780742917,1.42632418742886
2007,"Navy","Topline",108797731535.111,97718468672.6896,11079262862.4219,62222771030.4979,46574960504.6135,0.113379415507749,0.748519548925026
2008,"Air Force","Engines",2808205019.06998,4585964212.57458,-1777759193.5046,3341073252.78117,-532868233.711193,-0.387652216872961,-0.159490137867412
2008,"Air Force","Topline",78010732169.4061,88628524118.305,-10617791948.8989,58352469213.8231,19658262955.5829,-0.119801069176396,0.336888279458208
2008,"Army","Engines",336851572.566625,436416445.317667,-99564872.751042,1032405549.59342,-695553977.026794,-0.228141890204364,-0.67372165647571
2008,"Army","Topline",187624559729.742,150116124360.048,37508435369.6938,56620882464.0461,131003677265.695,0.249862801411868,2.31369896696474
2008,"DLA","Engines",556546784.302107,476113001.037038,80433783.2650692,579516667.894779,-22969883.5926715,0.168938430771421,-0.0396362777210786
2008,"DLA","Topline",43784637515.7316,38843896853.3853,4940740662.34631,14727836081.5909,29056801434.1407,0.127194773505731,1.97291722104786
2008,"Navy","Engines",3355009236.75294,3066563926.3338,288445310.419144,1263872297.94853,2091136938.80442,0.0940614046692943,1.6545476486815
2008,"Navy","Topline",118184284493.968,108797731535.111,9386552958.85653,62222771030.4979,55961513463.47,0.086275263522634,0.89937353378301
2009,"Air Force","Engines",2087358174.01588,2808205019.06998,-720846845.054096,3341073252.78117,-1253715078.76529,-0.256693097604685,-0.375243217945513
2009,"Air Force","Topline",83233847243.5166,78010732169.4061,5223115074.11057,58352469213.8231,24881378029.6935,0.0669538014688568,0.426398031907094
2009,"Army","Engines",834695719.868877,336851572.566625,497844147.302252,1032405549.59342,-197709829.724542,1.47793327342649,-0.191504036182684
2009,"Army","Topline",180664413312.892,187624559729.742,-6960146416.84964,56620882464.0461,124043530848.846,-0.0370961372374447,2.19077353532264
2009,"DLA","Engines",1148205801.03436,556546784.302107,591659016.732251,579516667.894779,568689133.13958,1.06308945343054,0.981316266890938
2009,"DLA","Topline",46645021655.6633,43784637515.7316,2860384139.93171,14727836081.5909,31917185574.0724,0.0653284873925013,2.16713340624203
2009,"Navy","Engines",3252060530.67838,3355009236.75294,-102948706.07457,1263872297.94853,1988188232.72985,-0.0306850738134498,1.57309265814039
