"","fydp_year","account","organization","program_number","program_name","project_number","project_name","fy","amount","amount_18","stage"
"1896","2016 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2018,4290000,4.29,"Basic Research"
"1897","2016 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2018,10434000,10.434,"Applied Research"
"1898","2016 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2018,6091000,6.091,"Advanced Technology Development"
"1899","2016 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2018,169765000,169.765,"Operational Systems Development"
"1900","2016 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2018,145000,0.145,"Operational Systems Development"
"1901","2016 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2019,45786000,45.03271,"Applied Research"
"1902","2016 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2019,23847000,23.45466,"Applied Research"
"1903","2016 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2019,12415000,12.21074,"Applied Research"
"1904","2016 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2019,55249000,54.34002,"Applied Research"
"1905","2016 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2019,5216000,5.130184,"Applied Research"
"1906","2016 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2019,2343000,2.304452,"Advanced Technology Development"
"1907","2016 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2019,23284000,22.90092,"Advanced Technology Development"
"1908","2016 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2019,21815000,21.45609,"Advanced Technology Development"
"1909","2016 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2019,114907000,113.0165,"Operational Systems Development"
"1910","2016 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2019,19531000,19.20967,"System Development & Demonstration"
"1911","2016 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2019,110667000,108.8463,"Operational Systems Development"
"1912","2016 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2019,4368000,4.296136,"Basic Research"
"1913","2016 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2019,10697000,10.52101,"Applied Research"
"1914","2016 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2019,6145000,6.0439,"Advanced Technology Development"
"1915","2016 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2019,171555000,168.7325,"Operational Systems Development"
"1916","2016 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2019,148000,0.145565,"Operational Systems Development"
"1917","2016 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2020,46205000,44.61896,"Applied Research"
"1918","2016 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2020,24298000,23.46394,"Applied Research"
"1919","2016 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2020,12664000,12.22929,"Applied Research"
"1920","2016 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2020,55341000,53.44136,"Applied Research"
"1921","2016 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2020,5319000,5.136419,"Applied Research"
"1922","2016 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2020,2389000,2.306995,"Advanced Technology Development"
"1923","2016 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2020,25647000,24.76664,"Advanced Technology Development"
"1924","2016 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2020,23479000,22.67306,"Advanced Technology Development"
"1925","2016 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2020,118848000,114.7684,"Operational Systems Development"
"1926","2016 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2020,17840000,17.22762,"System Development & Demonstration"
"1927","2016 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2020,112967000,109.0893,"Operational Systems Development"
"1928","2016 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2020,4452000,4.29918,"Basic Research"
"1929","2016 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2020,10908000,10.53357,"Applied Research"
"1930","2016 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2020,6268000,6.052844,"Advanced Technology Development"
"1931","2016 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2020,178608000,172.4771,"Operational Systems Development"
"1932","2016 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2020,146000,0.1409884,"Operational Systems Development"
"1933","2017 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2015,35119000,36.7018,"Applied Research"
"1934","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2015,11753000,12.2827,"Applied Research"
"1935","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2015,55773000,58.28667,"Applied Research"
"1936","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2015,4806000,5.022605,"Applied Research"
"1937","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2015,2144000,2.240629,"Advanced Technology Development"
"1938","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2015,51389000,53.70508,"Advanced Technology Development"
"1939","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2015,8286000,8.659447,"Advanced Technology Development"
"1940","2017 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2015,24558000,25.66482,"System Development & Demonstration"
"1941","2017 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2015,59212000,61.88066,"Operational Systems Development"
"1942","2017 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2015,4054000,4.236712,"Basic Research"
"1943","2017 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2015,7834000,8.187076,"Applied Research"
"1944","2017 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2015,7975000,8.33443,"Advanced Technology Development"
"1945","2017 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2015,49328000,51.5512,"Operational Systems Development"
"1946","2017 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2015,372000,0.3887659,"Operational Systems Development"
"1947","2017 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2015,78674000,82.21981,"Operational Systems Development"
"1948","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2015,17250000,18.02745,"Applied Research"
"1949","2017 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2016,55665000,57.50881,"Applied Research"
"1950","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2016,11652000,12.03795,"Applied Research"
"1951","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2016,63712000,65.82235,"Applied Research"
"1952","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2016,4847000,5.007549,"Applied Research"
"1953","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2016,2267000,2.342091,"Advanced Technology Development"
"1954","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2016,77791000,80.3677,"Advanced Technology Development"
"1955","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2016,24339000,25.14519,"Advanced Technology Development"
"1956","2017 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2016,27668000,28.58446,"System Development & Demonstration"
"1957","2017 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2016,75508000,78.00908,"Operational Systems Development"
"1958","2017 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2016,4161000,4.298826,"Basic Research"
"1959","2017 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2016,8507000,8.78878,"Applied Research"
"1960","2017 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2016,8216000,8.488141,"Advanced Technology Development"
"1961","2017 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2016,51164000,52.85872,"Operational Systems Development"
"1962","2017 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2016,364000,0.3760569,"Operational Systems Development"
"1963","2017 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2016,72603000,75.00785,"Operational Systems Development"
"1964","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2016,19670000,20.32154,"Applied Research"
"1965","2017 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2017,46444000,47.17142,"Applied Research"
"1966","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2017,10574000,10.73961,"Applied Research"
"1967","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2017,52519000,53.34157,"Applied Research"
"1968","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2017,4502000,4.572512,"Applied Research"
"1969","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2017,2262000,2.297428,"Advanced Technology Development"
"1970","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2017,19757000,20.06644,"Advanced Technology Development"
"1971","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2017,12238000,12.42968,"Advanced Technology Development"
"1972","2017 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2017,33664000,34.19126,"System Development & Demonstration"
"1973","2017 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2017,93543000,95.0081,"Operational Systems Development"
"1974","2017 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2017,4220000,4.286095,"Basic Research"
"1975","2017 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2017,9755000,9.907786,"Applied Research"
"1976","2017 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2017,4947000,5.024482,"Advanced Technology Development"
"1977","2017 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2017,126105000,128.0801,"Operational Systems Development"
"1978","2017 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2017,259000,0.2630565,"Operational Systems Development"
"1979","2017 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2017,78293000,79.51925,"Operational Systems Development"
"1980","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2017,27095000,27.51937,"Applied Research"
"1981","2017 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2018,47094000,47.094,"Applied Research"
"1982","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2018,10872000,10.872,"Applied Research"
"1983","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2018,56151000,56.151,"Applied Research"
"1984","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2018,4633000,4.633,"Applied Research"
"1985","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2018,2302000,2.302,"Advanced Technology Development"
"1986","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2018,17902000,17.902,"Advanced Technology Development"
"1987","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2018,12765000,12.765,"Advanced Technology Development"
"1988","2017 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2018,39078000,39.078,"System Development & Demonstration"
"1989","2017 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2018,107713000,107.713,"Operational Systems Development"
"1990","2017 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2018,4290000,4.29,"Basic Research"
"1991","2017 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2018,10434000,10.434,"Applied Research"
"1992","2017 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2018,6091000,6.091,"Advanced Technology Development"
"1993","2017 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2018,186264000,186.264,"Operational Systems Development"
"1994","2017 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2018,145000,0.145,"Operational Systems Development"
"1995","2017 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2018,76747000,76.747,"Operational Systems Development"
"1996","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2018,29673000,29.673,"Applied Research"
"1997","2017 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2019,49233000,48.423,"Applied Research"
"1998","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2019,11073000,10.89082,"Applied Research"
"1999","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2019,56785000,55.85075,"Applied Research"
"2000","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2019,4716000,4.63841,"Applied Research"
"2001","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2019,2358000,2.319205,"Advanced Technology Development"
"2002","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2019,18194000,17.89466,"Advanced Technology Development"
"2003","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2019,21815000,21.45609,"Advanced Technology Development"
"2004","2017 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2019,32150000,31.62105,"System Development & Demonstration"
"2005","2017 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2019,108511000,106.7257,"Operational Systems Development"
"2006","2017 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2019,4368000,4.296136,"Basic Research"
"2007","2017 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2019,10697000,10.52101,"Applied Research"
"2008","2017 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2019,6145000,6.0439,"Advanced Technology Development"
"2009","2017 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2019,238331000,234.4099,"Operational Systems Development"
"2010","2017 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2019,148000,0.145565,"Operational Systems Development"
"2011","2017 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2019,78283000,76.99505,"Operational Systems Development"
"2012","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2019,29612000,29.12481,"Applied Research"
"2013","2017 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2020,50271000,48.54539,"Applied Research"
"2014","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2020,11287000,10.89956,"Applied Research"
"2015","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2020,57572000,55.59578,"Applied Research"
"2016","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2020,4810000,4.644891,"Applied Research"
"2017","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2020,2404000,2.32148,"Advanced Technology Development"
"2018","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2020,18539000,17.90263,"Advanced Technology Development"
"2019","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2020,22379000,21.61082,"Advanced Technology Development"
"2020","2017 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2020,23084000,22.29162,"System Development & Demonstration"
"2021","2017 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2020,110233000,106.4491,"Operational Systems Development"
"2022","2017 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2020,4452000,4.29918,"Basic Research"
"2023","2017 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2020,10908000,10.53357,"Applied Research"
"2024","2017 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2020,6268000,6.052844,"Advanced Technology Development"
"2025","2017 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2020,309312000,298.6945,"Operational Systems Development"
"2026","2017 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2020,146000,0.1409884,"Operational Systems Development"
"2027","2017 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2020,79902000,77.15928,"Operational Systems Development"
"2028","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2020,30686000,29.63267,"Applied Research"
"2029","2017 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2021,47597000,NA,"Applied Research"
"2030","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2021,11471000,NA,"Applied Research"
"2031","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2021,58584000,NA,"Applied Research"
"2032","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2021,4889000,NA,"Applied Research"
"2033","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2021,2452000,NA,"Advanced Technology Development"
"2034","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2021,18909000,NA,"Advanced Technology Development"
"2035","2017 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2021,22825000,NA,"Advanced Technology Development"
"2036","2017 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2021,17259000,NA,"System Development & Demonstration"
"2037","2017 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2021,112495000,NA,"Operational Systems Development"
"2038","2017 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2021,4541000,NA,"Basic Research"
"2039","2017 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2021,11201000,NA,"Applied Research"
"2040","2017 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2021,6393000,NA,"Advanced Technology Development"
"2041","2017 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2021,315190000,NA,"Operational Systems Development"
"2042","2017 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2021,0,NA,"Operational Systems Development"
"2043","2017 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2021,81479000,NA,"Operational Systems Development"
"2044","2017 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2021,28566000,NA,"Applied Research"
"2045","2018 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2016,349000,0.36056,"Operational Systems Development"
"2046","2018 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2016,7891000,8.152376,"Advanced Technology Development"
"2047","2018 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft-Engine Dev","652","AV-8B",2016,26939000,27.83131,"System Development & Demonstration"
"2048","2018 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2016,73811000,76.25586,"Operational Systems Development"
"2049","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2016,11482000,11.86232,"Applied Research"
"2050","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2016,62716000,64.79336,"Applied Research"
"2051","2018 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2016,54699000,56.51081,"Applied Research"
"2052","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2016,4685000,4.840183,"Applied Research"
"2053","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2016,2194000,2.266673,"Advanced Technology Development"
"2054","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2016,74654000,77.12679,"Advanced Technology Development"
"2055","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","635098","Advanced Aerospace Propulsion",2016,22599000,23.34755,"Advanced Technology Development"
"2056","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","671012","Aircraft Engine Component Improvement Program (USAF)",2016,73763000,76.20627,"Operational Systems Development"
"2057","2018 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program","675365","Aircraft Engine Component Improvement Program (F135)",2016,30329000,31.3336,"Operational Systems Development"
"2058","2018 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2016,8292000,8.566659,"Applied Research"
"2059","2018 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2016,20389000,21.06435,"Advanced Technology Development"
"2060","2018 FYDP","RDT&E","Army","0607139A","Improved Turbine Engine Program","ES6","Improved Turbine Engine Program",2016,49137000,50.76458,"Operational Systems Development"
"2061","2018 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2016,4097000,4.232706,"Basic Research"
"2062","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2016,19074000,19.70579,"Applied Research"
"2063","2018 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2017,259000,0.2630565,"Operational Systems Development"
"2064","2018 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2017,4947000,5.024482,"Advanced Technology Development"
"2065","2018 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft-Engine Dev","652","AV-8B",2017,34902000,35.44865,"System Development & Demonstration"
"2066","2018 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2017,93543000,95.0081,"Operational Systems Development"
"2067","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2017,10574000,10.73961,"Applied Research"
"2068","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2017,52519000,53.34157,"Applied Research"
"2069","2018 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2017,46444000,47.17142,"Applied Research"
"2070","2018 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2017,4502000,4.572512,"Applied Research"
